race,decile_score,recid_count,non_recid_count,total_count,TP,TN,FP,FN,TPR,FPR,PPV,
0,African-American,1,85,280,365,1661,0,1514,0,1,1,0.52315
1,African-American,2,105,241,346,1576,280,1234,85,0.948826,0.815059,0.560854
2,African-American,3,125,173,298,1471,521,993,190,0.885611,0.655878,0.596997
3,African-American,4,158,179,337,1346,694,820,315,0.810355,0.541612,0.621422
4,African-American,5,158,165,323,1188,873,641,473,0.715232,0.423382,0.649535
5,African-American,6,187,131,318,1030,1038,476,631,0.620108,0.314399,0.683931
6,African-American,7,209,134,343,843,1169,345,818,0.507526,0.227873,0.709596
7,African-American,8,215,86,301,634,1303,211,1027,0.381698,0.139366,0.750296
8,African-American,9,229,88,317,419,1389,125,1242,0.252258,0.082563,0.770221
9,African-American,10,190,37,227,190,1477,37,1471,0.114389,0.024439,0.837004
10,Caucasian,1,128,477,605,822,0,1281,0,1,1,0.39087
11,Caucasian,2,100,221,321,694,477,804,128,0.844282,0.627635,0.463284
12,Caucasian,3,82,156,238,594,698,583,228,0.722628,0.455113,0.504673
13,Caucasian,4,98,145,243,512,854,427,310,0.622871,0.333333,0.545261
14,Caucasian,5,91,109,200,414,999,282,408,0.50365,0.220141,0.594828
15,Caucasian,6,93,67,160,323,1108,173,499,0.392944,0.135051,0.65121
16,Caucasian,7,68,45,113,230,1175,106,592,0.279805,0.082748,0.684524
17,Caucasian,8,72,24,96,162,1220,61,660,0.19708,0.047619,0.726457
18,Caucasian,9,55,22,77,90,1244,37,732,0.109489,0.028884,0.708661
19,Caucasian,10,35,15,50,35,1266,15,787,0.042579,0.01171,0.7